SWIFT CODE;NAME;ADDRESS
AAISALTRXXX;UNITED BANK OF ALBANIA SH.A;HYRJA 3 RR. DRITAN HOXHA ND. 11 TIRANA, TIRANA, 1023
ABIEBGS1XXX;ABV INVESTMENTS LTD;TSAR ASEN 20  VARNA, VARNA, 9002
ADCRBGS1XXX;ADAMANT CAPITAL PARTNERS AD;JAMES BOURCHIER BLVD 76A HILL TOWER SOFIA, SOFIA, 1421
AFAAUYM1XXX;AFINIDAD A.F.A.P.S.A.;PLAZA INDEPENDENCIA 743  MONTEVIDEO, MONTEVIDEO, 11000
AGRIMCM1XXX;CREDIT AGRICOLE MONACO (CRCA PROVENCE COTE D'AZUR MONACO);23 BOULEVARD PRINCESSE CHARLOTTE  MONACO, MONACO, 98000
AIPOPLP1XXX;SANTANDER CONSUMER BANK SPOLKA AKCYJNA;STRZEGOMSKA 42C  WROCLAW, DOLNOSLASKIE, 53-611
AIZKLV22XXX;ABLV BANK, AS IN LIQUIDATION;MIHAILA TALA STREET 1  RIGA, RIGA, LV-1045
AKBKMTMTXXX;AKBANK T.A.S. (MALTA BRANCH);FLOOR 6, PORTOMASO BUSINESS TOWER 01 PORTOMASO PTM - ST. JULIAN'S ST. JULIAN'S, STJ 4011
ALBPPLP1BMW;ALIOR BANK SPOLKA AKCYJNA;  WARSZAWA, MAZOWIECKIE
ALBPPLPWXXX;ALIOR BANK SPOLKA AKCYJNA;LOPUSZANSKA BUSINESS PARK LOPUSZANSKA 38 D WARSZAWA, MAZOWIECKIE, 02-232
ANIBAWA1XXX;AIB BANK NV;WILHELMINASTRAAT 36  - ORANJESTAD ORANJESTAD-WEST AND ORANJESTAD-EAST 
ANTLUYM1XXX;ANTEL;GUATEMALA 1075  MONTEVIDEO, MONTEVIDEO, 11800
APSBMTMTXXX;APS BANK PLC.;APS CENTRE TOWER STREET BIRKIRKARA, BIRKIRKARA, BKR 4012
ARUBAWAXXXX;ARUBA BANK, LTD;CAMACURI 12  - ORANJESTAD ORANJESTAD-WEST AND ORANJESTAD-EAST 
ATISMTM1XXX;JESMOND MIZZI FINANCIAL ADVISORS LIMITED;ABATE RIGORD STREET  TA'XBIEX, TA'XBIEX, XBX 1120
AVJCBGS1XXX;AVAL IN JSC;TODOR ALEKSANDROV BLVD 73 FLOOR 1 SOFIA, SOFIA, 1303
BAERMCMCXXX;BANK JULIUS BAER (MONACO) S.A.M.;12 BOULEVARD DES MOULINS  MONACO, MONACO, 98000
BAPDBGS1XXX;BALKAN ADVISORY COMPANY-IP EAD;SQ. POZITANO 9  SOFIA, SOFIA, 1000
BARCMCC1XXX;BARCLAYS BANK S.A;31 AVENUE DE LA COSTA  MONACO, MONACO, 98000
BARCMCMXXXX;BARCLAYS BANK PLC MONACO;31 AVENUE DE LA COSTA  MONACO, MONACO, 98000
BBVAUYMMXXX;BANCO BILBAO VIZCAYA ARGENTARIA URUGUAY S.A.;25 DE MAYO, ESQUINA ZAQBALA 401  MONTEVIDEO, MONTEVIDEO, 11000
BCCSCLR1XXX;BCI CORREDOR DE BOLSA S.A.;  
BCECCLRFXXX;BANCO CENTRAL DE CHILE;  
BCECCLRMXXX;BANCO CENTRAL DE CHILE;  
BCGMMCM1XXX;BNP PARIBAS WEALTH MANAGEMENT MONACO;27 BOULEVARD PRINCESSE CHARLOTTE  MONACO, MONACO, 98000
BCHICLR10R2;BANCO DE CHILE;  
BCHICLR10R3;BANCO DE CHILE;21 DE MAYO 330  ARICA, PROVINCIA DE ARICA, 1000000
BCHICLR10R4;BANCO DE CHILE;  
BCHICLR10R5;BANCO DE CHILE;  
BCHICLR10R6;BANCO DE CHILE;  
BCHICLR10R7;BANCO DE CHILE;  
BCHICLR10R8;BANCO DE CHILE;  
BCHICLR10RA;BANCO DE CHILE;  
BCHICLR10RC;BANCO DE CHILE;  
BCHICLR10RV;BANCO DE CHILE;  
BCHICLR10RY;BANCO DE CHILE;  
BCHICLRMEXP;BANCO DE CHILE;  
BCHICLRMIMP;BANCO DE CHILE;  
BCHICLRMIOB;BANCO DE CHILE;  
BCHICLRMXXX;BANCO DE CHILE;  
BCOSCLR1XXX;BANCHILE CORREDORES DE BOLSA S.A.;AGUSTINAS 975, FLOOR 2 CASA MATRIZ BANCO DE CHILE - SANTIAGO PROVINCIA DE SANTIAGO, 8320000
BCRCBGS1XXX;BCRA - CREDIT RATING AGENCY;EVLOGI GEORGIEV 95 FLOOR 1 SOFIA, SOFIA, 1142
BECHCLRMXXX;BANCO DEL ESTADO DE CHILE;  
BEDMPLP1XXX;DOM MAKLERSKI BDM S.A.;STOJALOWSKIEGO 7  BIELSKO BIALA, SLASKIE, 43-300
BELDPLP1XXX;BANK SPOLDZIELCZY W BELSKU DUZYM;UL.NOCZNICKIEGO 3  BELSK DUZY, MAZOWIECKIE, 05-622
BERLMCMCXXX;EDMOND DE ROTHSCHILD-MONACO;LES TERRASSES, CARLO 2 AVENUE DE MONTE MONACO, MONACO, 98000
BGUSBGSFXXX;BULGARIAN-AMERICAN CREDIT BANK;SLAVYANSKA STR 2  SOFIA, SOFIA, 1000
BHUMUYM1XXX;BANCO HIPOTECARIO DEL URUGUAY;FERNANDEZ CRESPO 1508  MONTEVIDEO, MONTEVIDEO, 11200
BICECLRMXXX;BANCO BICE;  
BICHCLRMXXX;BANCO INTERNACIONAL;  
BIEZPLP1XXX;BANK SPOLDZIELCZY W BIEZUNIU;ZAMOJSKIEGO 27  BIEZUN, MAZOWIECKIE, 09-320
BIGBPLPWCUS;BANK MILLENNIUM S.A.;HARMONY CENTER UL. STANISLAWA ZARYNA 2A WARSZAWA, MAZOWIECKIE, 02-593
BIGBPLPWXXX;BANK MILLENNIUM S.A.;HARMONY CENTER UL. STANISLAWA ZARYNA 2A WARSZAWA, MAZOWIECKIE, 02-593
BISPPLP1XXX;BANK INICJATYW SPOLECZNO-EKONOMICZNYCH S.A.;DUBOIS STREET 5 A  WARSZAWA, MAZOWIECKIE, 00-184
BJSBMCMXLCO;BANQUE J. SAFRA SARASIN (MONACO) SA;  MONACO, MONACO, 98000
BJSBMCMXXXX;BANQUE J. SAFRA SARASIN (MONACO) SA;LE BELLE EPOQUE 15BIS/17 AVENUE D'OSTENDE MONACO, MONACO, 98000
BKSACLRM055;SCOTIABANK CHILE;  
BKSACLRM061;SCOTIABANK CHILE;  
BKSACLRM064;SCOTIABANK CHILE;21 DE MAYO 187  ARICA, PROVINCIA DE ARICA, 1000000
BKSACLRM068;SCOTIABANK CHILE;  
BKSACLRMXXX;SCOTIABANK CHILE;AVENIDA COSTANERA SUR 2710, FLOOR 10 EDIFICIO PARQUE TITANIUM SANTIAGO, PROVINCIA DE SANTIAGO
BLICCLRMXXX;HSBC BANK (CHILE);AVENIDA ISIDORA GOYENECHEA 2800 FLOOR 23 LAS CONDES - SANTIAGO PROVINCIA DE SANTIAGO, 8320000
BLICUYMMXXX;HSBC BANK (URUGUAY) S.A.;RINCON 391 FLOOR 3 MONTEVIDEO, MONTEVIDEO, 11000
BLPBLV21XXX;AS BALTIJAS PRIVATBANKA;SIA MONO KATLAKALNA ST. 1 RIGA, RIGA, LV-1017
BMDNPLP1XXX;DNB BANK POLSKA SPOLKA AKCYJNA;ZEROMSKIEGO 75  RADOM, MAZOWIECKIE, 26-600
BNBGBGSDXXX;BULGARIAN NATIONAL BANK - BGN;ALEXANDER BATTENBERG SQUARE 1  SOFIA, SOFIA, 1000
BNBGBGSFXXX;BULGARIAN NATIONAL BANK;ALEXANDER BATTENBERG SQUARE 1  SOFIA, SOFIA, 1000
BNIFMTMTXXX;BNF BANK PLC (FORMERLY BANIF BANK MALTA);FLOOR 2 203 RUE D'ARGENS GZIRA, GZIRA, GZR 1368
BNPABGSXXXX;BNP PARIBAS S.A.-SOFIA BRANCH;MLADOST 4 BUSINESS PARK SOFIA BUILDING 14, FLOOR 1, RESIDENTIAL SOFIA, SOFIA, 1766
BNPAMCM1XXX;BNP PARIBAS;  MONACO, MONACO, 98000
BNPAPLPXXXX;BNP PARIBAS S.A. BRANCH IN POLAND;UL. WRONIA 31  WARSZAWA, MAZOWIECKIE, 00-846
BOFACLR1XXX;BANK OF AMERICA, S.A. SANTIAGO;  
BPBIBGSFSEC;EUROBANK BULGARIA AD;  SOFIA, SOFIA
BPBIBGSFXXX;EUROBANK BULGARIA AD;OKOLOVRASTEN PAT STR 260  SOFIA, SOFIA, 1766
BPHKPLP1BMK;BANK BPH SA;  KRAKOW, MALOPOLSKIE
BPHKPLPKCUS;BANK BPH SA;UL. CYPRIANA KAMILA NORWIDA 1  GDANSK, POMORSKIE, 80-280
BPHKPLPKXXX;BANK BPH SA;UL. CYPRIANA KAMILA NORWIDA 1  GDANSK, POMORSKIE, 80-280
BPKOPLPWBIA;PKO BANK POLSKI S.A.;TYSIACLECIA PANSTWA POLSKIEGO 6  BIALYSTOK, PODLASKIE, 15-111
BPKOPLPWCSD;PKO BANK POLSKI S.A.;  WARSZAWA, MAZOWIECKIE
BPKOPLPWGDG;PKO BANK POLSKI S.A.;SWIETOJANSKA 17  GDYNIA, POMORSKIE, 71-368
BPKOPLPWGOA;PKO BANK POLSKI S.A.;KOSYNIEROW GDYNSKICH 79  - GORZOW WIELKOPOLSKI, LUBUSKIE, 66-400 
BPKOPLPWKAB;PKO BANK POLSKI S.A.;DAMROTA 23  KATOWICE, SLASKIE, 40-022
